SECTION,PRE-VISIT CONTACT STRATEGY — uMODA Quote Transparency Platform,,,,,,,,,,,,,,,,,,,,
,TIER A — Digital-Native Shops (Website + active platform signals): Email 5–7 days before → phone follow-up → visit. Reference something specific to the shop. Subject line: "[Specialty] shops in [area] — brief conversation before we arrive?" Frame as field research validation not a sales call.,,,,,,,,,,,,,,,,,,,,
,TIER B — Digitally Visible / Named Owner: Phone call 3–5 days before. Ask for named contact by first name. Keep under 2 minutes. Goal: set the expectation that someone is coming — not to sell. Script: "Hi [name] — I'm with the uMODA team. We're visiting shops in [area] we've identified as doing things the right way. 15 minutes — no product pitch — we're learning. Would [day] work?",,,,,,,,,,,,,,,,,,,,
,TIER C — No Digital Presence: Direct walk-in with a 1-page uMODA pain framework leave-behind (6 drivers + TX statute anchors + cost data). Open with: 'We're documenting how honest shops in Houston deal with quote disputes.' Let the owner teach you their version of the problem. Listen first.,,,,,,,,,,,,,,,,,,,,
,TEKMETRIC SHOPS: Approach as a peer conversation — NOT an acquisition pitch. Ask what platform they use. Understand their workflow gaps. Position uMODA as the quote-to-authorization layer that complements — not competes with — their existing DVI platform.,,,,,,,,,,,,,,,,,,,,
,THE WHY — uMODA's value to honest shops: (1) You're already doing this right — we make sure everyone can see that. (2) 62% of calls go unanswered — every missed call is a potential dispute. (3) TX law requires written auth >$100 above estimate — verbal is unenforceable. (4) One 1-star review from a quote dispute costs 14–30 new customers/month. (5) TekMetric DVI shops average $741 RO vs $612 without — transparency pays.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
#,Shop Name,Corridor / Location,Outside Defined Corridor,Priority,Tech Tier,TekMetric,Address,Phone,Email,Website,Social Media,Named Contact,Specialty / Type,Tenure (Permit Yr),Est. Bays,Key Notes,Pain Drivers,Contact Channel,Why We're Here,Approach / Opening Line,Engagement Opportunities
,,,,,,,,,,,,,,,,,,,,,,
TIER A — HIGH PRIORITY,,,,,,,,,,,,,,,,,,,,,
1,Hi-Tec Automotive Inc,Schumacher Ln Corridor,No,HIGH,A,CONFIRMED — Good/Better/Best language in customer review matches TekMetric's proprietary recommendation tier feature exactly,"5905 Schumacher Ln, Houston TX 77057",(713) 266-7709,TBD,hitech-automotive.com (verify — domain unresolved),Yelp active; BBB listed,"Matt, Zach",General auto repair,2008 (18 yrs),3,"Likely on TekMetric or equivalent. Website domain may be expired — verify before email outreach. ASE-level shop with structured options presentation already in practice.","D8 (auth gaps beyond DVI); D10 (comm breakdown); D1 (quote escalation — partially mitigated)",Phone → Visit,"HIGHEST value conversation in corpus. If confirmed TekMetric user, this is a relationship and workflow-gap conversation — not a pitch. Understand what their current platform doesn't cover in the quote-to-authorization trail.","'We read a review where someone mentioned you offer Good/Better/Best options — we're building something adjacent to that and want to understand how you think about it. 15 minutes?'","TekMetric workflow gap analysis; quote-to-auth layer extension; potential case study if we complement rather than compete"
